,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
NPL003,62,62,62,62,62,62,62,62,62,62,62,65,65,65,65,65,65,65,65,65,62.3,,
PAK001,764,276,62,0,0,62,62,219,219,276,1819,65,65,65,65,65,65,65,65,65,278.4,,
PAK004,522,245,764,764,0,245,764,764,764,764,1799,65,65,65,65,65,65,65,65,65,669.3,,
PAK005,337,219,219,0,427,219,219,219,219,219,552,65,65,65,65,65,65,65,65,65,235.8,,
PAN002,129,34,34,34,129,129,129,129,129,129,246,65,65,65,65,65,65,65,65,65,115.3,,
PER002,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,6.5,,
PHL003,96,96,4,4,4,4,4,4,4,4,96,65,65,65,65,65,65,65,65,65,19.3,,
PNG001,4,4,4,4,4,4,4,4,4,4,4,51,51,51,51,51,51,51,51,51,8.7,,
PNG003,4,4,4,4,4,4,4,4,4,4,4,65,65,65,65,65,65,65,65,65,10.1,,
PNG004,4,4,4,4,4,4,4,4,4,4,4,51,51,51,51,51,51,51,51,51,8.7,,
POL002,1,1,1,1,1,1,1,1,1,1,1,68,68,68,68,68,68,68,68,68,7.7,,
PRK001,1044,154,154,31,0,154,154,276,337,337,1829,65,65,65,65,65,65,65,65,65,333.7,,
PSE002,31,0,0,0,0,0,0,0,0,0,31,65,65,65,65,65,65,65,65,65,9.6,,
PSE003,31,0,0,0,0,0,0,0,0,0,98,65,65,65,65,65,65,65,65,65,16.3,,
PSE004,31,0,0,0,0,0,0,0,0,0,31,65,65,65,65,65,65,65,65,65,9.6,,
REG001,209,209,209,0,0,209,209,209,209,209,0,63,63,63,63,63,63,63,63,63,131.7,,
REG002,520,520,520,520,520,520,520,520,520,688,520,64,64,64,64,64,64,64,64,64,491.2,,
REG003,522,246,1212,184,92,245,1742,1742,1742,1742,1742,65,65,65,65,65,65,65,65,65,1050.8,,
REG004,217,217,217,217,217,217,217,217,217,217,1716,65,65,65,65,65,65,65,65,65,351.7,,
REG006,123,0,0,0,0,0,0,0,0,0,1719,65,65,65,65,65,65,65,65,65,178.4,,
REG007,2,2,2,2,2,2,2,2,2,2,521,65,65,65,65,65,65,65,65,65,60.2,,
REG008,2,2,2,2,2,2,2,2,2,2,521,65,65,65,65,65,65,65,65,65,60.2,,
REG011,4,4,4,4,4,4,4,4,4,4,4,65,65,65,65,65,65,65,65,65,10.1,,
REG012,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,6.5,,
REG013,31,0,0,0,0,0,0,0,0,0,187,65,65,65,65,65,65,65,65,65,25.2,,
REG014,195,0,32,0,0,32,32,32,32,32,700,64,64,64,64,64,64,64,64,64,95.6,,
REG015,217,217,217,62,62,62,62,62,62,62,217,65,65,65,65,65,65,65,65,65,93.3,,
